drug	drug_class
Amsacrine|Amsidine|AMSA|Acridinyl Anisidide|Amekrin|Amsidyl|CI-880|Lamasine|SN 11841|SN-11841|SN-21429	alkylating_agent
Anakinumab	anti-IL-1beta_antibody
Anamorelin|RC-1291	Growth_hormone_secretagogue_receptor_agonist
Anastrozole|Anastrazole|Arimidex|ICI D1033|ICI-D1033|ZD-1033	aromatase_inhibitor
Anetumab Ravtansine|BAY 94-9343	mesothelin-targeting_antibody-drug_conjugate
Apalutamide|ARN 509|ARN-509|ARN509|Erleada|JNJ 56021927|JNJ-56021927	antiandrogen,nonsteroidal,second_generation
Aprutumab|AGC-2500|BAY-1179470|BAY1179470	anti-FGFR2_monoclonal_antibody
Arfolitixorin|6R-5,10-methyleneTHF|6R-5-10-Methylenetetrahydrofolate|6R-MTHF|6R-methylene THF|Modufolin|Rescufolin	reduced_folate-based_biomodulator
Arsenic Trioxide|Trisenox|Arsenic Sesquioxide|Arsenous Acid|Arsenous Oxide|White Arsenic	arsenic
Asciminib|ABL001	BCR-ABL1_inhibitor
Asparaginase|Asparaginase Erwinia chrysanthemi|Elspar|Colaspase|Kidrolase|L-Asnase|Leucogen|Leunase|ASP-1|L-ASP|Laspar|Lcf-ASP|MK-965|Paronal|Re-82-TAD-15|Serasa|Spectrila	asparaginase
Atezolizumab|MPDL 3280A|MPDL 328OA|MPDL-3280A|MPDL3280A|MPDL328OA|RG7446|RO5541267|Tecentriq	anti-PD-L1_monoclonal_antibody
Autologous GD2 chimeric antigen receptor-expressing peripheral blood T cells	autologous_GD2_CAR_T_cells
Avapritinib|AYVAKIT|BLU-285	KIT_D816V_inhibitor; KIT_inhibitor,ATP-competitive; PDGFRA_inhibitor
Avelumab|Bavencio|MSB-0010718C|MSB0010718C	anti-PD-L1_monoclonal_antibody
Axitinib|AG-013736|AG013736|Inlyta	VEGFR/PDGFR_inhibitor; KIT_inhibitor,ATP-competitive
Azacitidine|5-AC|Mylosar|CC-486|Vidaza|5 AZC|5-AZC|5-Aza-cytidine|Azacytidine|Ladakamycin|U-18496	DNA_methyltransferase_inhibitor; antimetabolite
BAT-1306|BAT 1306|BAT1306	anti-PD-1_monoclonal_antibody
BAY1436032|BAY 1436032|BAY-1436032	IDH1_R132_inhibitor
BAY2757556	TRK_inhibitor,first_generation
BCD-100|BCD 100|BCD100	anti-PD-1_monoclonal_antibody
BGB-11417	BCL2_inhibitor
BGB-283|BGB 283|Begeine-283|LIFIRAFENIB	RAF_dimer_inhibitor
BGB-3245	RAF_dimer_inhibitor
BGB-A1217|BGB A1217|BGBA1217	anti-TIGIT_monoclonal_antibody
BGB-A333|BGB A333|BGBA333	anti-PD-L1_monoclonal_antibody
BGB-A425|BGB A425|BGBA425	anti-TIM3_monoclonal_antibody
BGB-A445	anti-OX40_agonistic_monoclonal_antibody
BI 754091	anti-PD-1_monoclonal_antibody
BI-3812	BCL6_inhibitor
BI907828|BI 907828|BI-907828	MDM2_inhibitor
BMS 936559|MDX-1105	anti-PD-L1_monoclonal_antibody
BMS-813160	CCR2/CCR5_antagonist
BMS-986115	NOTCH_inhibitor
BMS-986148	anti-mesothelin_antibody-drug_conjugate
BMS-986158	BET_inhibitor
BMS-986179|BMS 986179	anti-CD73_monoclonal_antibody
BMS-986207	anti-TIGIT_monoclonal_antibody
BMS-986213	anti-LAG3_monoclonal_antibody
BMS-986218|BMS 986218	anti-CTLA-4_monoclonal_antibody
BMS-986249|BMS 986249|BMS986249	CTLA-4-directed_probody
BMS-986258|BMS 986258	anti-TIM3_monoclonal_antibody
BMS-986277	replication-competent_oncolytic_adenovirus
BNC-105|BNC 105|BNC105	tubulin_polymerization_inhibitor_and_vascular_disruption_agents
BNC101|BNC-101|ET-101	anti-LGR5_monoclonal_antibody
BNC105P	tubulin_polymerization_inhibitor_and_vascular_disruption_agents
BTRC4017A|Anti-HER2/Anti-CD3 Bispecific Monoclonal Antibody 4017A|BTRC 4017A|BTRC-4017A|RG 6194|RG-6194|RG6194	bispecific_ERBB2/CD3_monoclonal_antibody
Balstilimab|AGEN 2034|AGEN-2034|AGEN2034	anti-PD-1_monoclonal_antibody
Belantamab Mafodotin|GSK2857916|GSK'916|GSK 916|GSK-916|J6M0-mcMMAF	anti-BCMA-immunoconjugate
Bemarituzumab|FPA144	anti-FGFR2_monoclonal_antibody
Bempegaldesleukin|NKTR-214	IL-2_variant
Bendamustine|SDX-105	alkylating_agent
Berzosertib|M 6620|M6620|VE-822|VX 970|VX-970|VX970	ATR_inhibitor
Bevacizumab|Avastin|Anti-VEGF|BP102|HD204|SCT501|rhuMab-VEGF	anti-VEGF_monoclonal_antibody
Bicalutamide|Casodex|Cosudex|ICI 176,334|ICI 176334	antiandrogen,nonsteroidal,first_generation
Binimetinib|ARRY-162|ARRY-438162|MEK162|Mektovi	MEK_inhibitor
Bintrafusp Alfa|M7824|MSB0011359C	anti-PD-L1_and_TGF-beta_monoclonal_antibody
Bleomycin	antineoplastic_antibiotic
Bortezomib|PS-341|LDP 341|MLN341|PS341|Velcade	proteasome_inhibitor
Bosutinib|SKI-606|4-Anilino-3-quinolinecarbonitrile|Bosulif|SKI 606	BCR-ABL1_inhibitor,second_generation; SRC_inhibitor
Bozitinib|APL-101|APL101|CBI-3103|CBT-101|PLB-1001|PLB1001	MET_inhibitor
Brentuximab Vedotin|Adcetris|SGN-35|cAC10-vcMMAE	anti-CD30_antibody-drug_conjugate
Brigatinib|AP 26113|AP-26113|AP26113|Alunbrig	ROS1_inhibitor; ALK_inhibitor,second_generation
Budigalimab|ABBV 181|ABBV-181|ABBV181	anti-PD-1_monoclonal_antibody
Buparlisib|BKM120	pan-PI3K_inhibitor; PI3K_alpha_inhibitor
Busulfan|Misulban|Myeloleukon|Myelosan|Mylecytan|Myleran|1,4-Bitanediol Dimethanesulfonate Esters|1,4-Butanediol Dimethylsulfonate|BUS|CB 2041|CB-2041|GT 41|GT-41|Glyzophrol|Joacamine|Methanesulfonic Acid Tetramethylene Ester|Methanesulfonic acid, tetramethylene ester|Mielucin|Misulfan|Mitosan|Myeleukon|Sulfabutin|WR-19508	alkylating_agent
Bzacitidine	DNA_methyltransferase_inhibitor; antimetabolite
CAVATAK	virus-based_therapy
CC-90003	ERK_inhibitor
CC-95251|CC 95251|CC95251	anti-SIRPa_monoclonal_antibody
CDX-301|FLT 3 Ligand|FLT3 Ligand|Flt3-Ligand|Flt3L|Mobist	recombinant_flt3_ligand
CEND-1|CEND 1|Internalized-arginylglycylaspartic Acid Cyclic Peptide|iRGD	tumor-homing_peptide_iRGD
CEP-9722	PARP_inhibitor
CGM097	p53-HDM2_interaction_inhibitor; MDM2_inhibitor
CK-101|CK 101|CK101|OLAFERTINIB|RX-518	EGFR_inhibitor,third_generation
CMP-001|ARB-1598|CYT 003|CYT-003	TLR9_agonist
CPI-006|CPI 006|CPI006|CPX-006	anti-CD73_monoclonal_antibody
CRLX301	docetaxel-loaded_nanopharmaceutical
CS1001|CS 1001|CS-1001|WBP 315|WBP-315|WBP315	anti-PD-L1_monoclonal_antibody
CS1002	anti-CTLA-4_monoclonal_antibody
CS1003|CS 1003|CS-1003	anti-PD-1_monoclonal_antibody
CS3002	CDK4/6_inhibitor
CS3005	adenosine_A2A_receptor_antagonist
CS3006|CS 3006|CS-3006	MEK_inhibitor
CTX110|CTX 110|CTX-110|CTX101	CD19-directed_CAR_T_cell
CX-5461|CX5461	RNA_polymerase_I_transcription_inhibitor
Cabazitaxel|Jevtana|RPR-116258A|Taxoid XRP6258|XRP-6258	taxane
Cabozantinib	AXL_inhibitor; MET_inhibitor,type_2; RET_inhibitor; VEGFR2_inhibitor; ROS1_inhibitor; KIT_inhibitor
Camrelizumab|HR-301210|SHR-1210|SHR1210	anti-PD-1_monoclonal_antibody
Cantrixil|TRX E 002 1|TRX-E-002-1|TRXE0021	benzopyran
Capecitabine|Xeloda|Ro 09-1978/000	antimetabolite
Capivasertib|AZD5363	pan-AKT_inhibitor
Capmatinib|INC-280|INC280|INCB 28060|INCB028060|INCB28060	MET_inhibitor,type_1
Carboplatin|CBDCA|1,1-cyclobutanedicarboxylic acid platinum complex|Blastocarb|Carboplat|Carbosin|Carbosol|Carbotec|Displata|Ercar|JM-8|Nealorin|Novoplatinum|Paraplat|Platinwas|Ribocarbo	platinum-based_antineoplastic_agent
Carfilzomib|Kyprolis|PR-171	proteasome_inhibitor
Carmustine|BCNU|Carmubris|Nitrumon|Becenum|Becenun|BiCNU|Bis-Chloronitrosourea|Carmustin|FDA 0345|Nitrourean|SK 27702|SRI 1720|WR-139021	alkylating_agent
Cediranib|AZD2171	VEGF_inhibitor
Cemiplimab|Libtayo|REGN2810	anti-PD-1_monoclonal_antibody
Ceralasertib|AZD6738	ATR_inhibitor
Ceritinib|LDK 378|LDK378|Zykadia	ROS1_inhibitor; ALK_inhibitor,second_generation
Cetrelimab|JNJ 63723283|JNJ-63723283|JNJ63723283|WHO 10757	anti-PD-1_monoclonal_antibody
Cetuximab|Erbitux|Chimeric Anti-EGFR Monoclonal Antibody|Chimeric MoAb C225|Chimeric Monoclonal Antibody C225|IMC-C225	anti-EGFR_monoclonal_antibody
Chlorambucil|Amboclorin|Ecloril|Elcoril|Leukeran|Leukersan|Leukoran|Linfolizin|CB 1348|CB-1348|CHL|Linfolysin|Lympholysin|Phenylbutyric acid nitrogen mustard|WR-139013	alkylating_agent
Cibisatamab|RG-7802|RG7802|RO-6958688|RO6958688|WHO 10636	anti-CEA/CD3_bispecific_antibody
Ciforadenant|CPI-444|V81444	adenosine_A2aR_and_A2bR_antagonist
Cisplatin|Platiblastin|Platinol|Abiplatin|Blastolem|Briplatin|Cis-platinous Diamine Dichloride|Cismaplat|Cisplatyl|Citoplatino|Citosin|Cysplatyna|DDP|Lederplatin|Metaplatin|Neoplatin|Placis|Plastistil|Platamine|Platinex|Platinoxan|Platinum|Platiran|Platistin|Platosin	platinum-based_antineoplastic_agent
Cladribine|2-Chloro-2-Deoxyadenosine|2-Chlorodeoxyadenosine|CdA|Cladribina|Leustat|RWJ-26251	antimetabolite
Cobimetinib|Cotellic|GDC-0973|XL518	MEK_inhibitor
Complete Freund’s Adjuvant	immunopotentiator
Copanlisib|BAY 80-6946	pan-PI3K_inhibitor; PI3K_alpha/PI3K_delta_inhibitor
Cosibelimab|CK 301|CK-301	anti-PD-L1_monoclonal_antibody
Coxsackievirus A21|CVA21	oncolytic_Coxsackie_virus,ICAM_overexpressing
Crenolanib|CP-868,596|CP-868596	FLT3_inhibitor; PDGFRA_inhibitor; PDGFRB_inhibitor
Crizotinib|PF-02341066|PF-2341066|Xalkori	ALK_inhibitor,first_generation; MET_inhibitor,type_1; ROS1_inhibitor
Cyclophosphamide|CTX|Clafen|Claphene|Cyclophosphan|Cyclostin|Cytophosphan|Genoxal|Mitoxan|Neosar|CP monohydrate|CYCLO-cell|Carloxan|Ciclofosfamida|Ciclofosfamide|Cicloxal|Cycloblastin|Cyclophospham|Cytoxan|Fosfaseron|Genuxal|Ledoxina|Revimmune|Syklofosfamid|WR- 138719	alkylating_agent
Cyproterone|SH-881	antiandrogen,steroidal
Cytarabine|Arabinofuranosylcytosine|Arabinosylcytosine|Aracytidine|Cytosar|U 19920|Alexan|Ara-C|Arabine|Aracytin|CHX-3311|Cytarabinum|Cytarbel|Cytosine Arabinoside|Cytosine-.beta.-arabinoside|Cytosine-beta-arabinoside|Erpalfa|Starasid|U-19920|Udicil|WR-28453	antimetabolite
DCC-3014	CSF1R_inhibitor
DS-1001|DS 1001	IDH1_R132_inhibitor
DS-6051b	ROS1_inhibitor; TRK_inhibitor,second_generation
DZD9008|DZD 9008|DZD-9008	EGFR_inhibitor,exon_20_selective; ERBB2_inhibitor,exon_20_selective
Dabrafenib|GSK-2118436|GSK2118436	BRAF_V600_inhibitor
Dacarbazine|DTIC|Deticene|Asercit|Biocarbazine|Dacarbazina|Dacatic|Dakarbazin|Detimedac|Dimethyl Triazeno Imidazol Carboxamide|Dimethyl-triazeno-imidazole-carboximide|Fauldetic|Imidazole Carboxamide|WR-139007	alkylating_agent
Dacomitinib|PF-00299804|PF-299804|Vizimpro	EGFR_inhibitor,second_generation
Dactinomycin|Actinomycin IV|Actinomycin X 1|Cosmegen|Meractinomycin|ACTINOMYCIN D|Actinomycin A IV|Actinomycin C1|Actinomycin I1|DACT	antineoplastic_antibiotic
Dactolisib|BEZ235	PI3K/mTOR_inhibitor
Daratumumab|Anti-CD38 Monoclonal Antibody|Darzalex|HuMax-CD38|JNJ-54767414	anti-CD38_monoclonal_antibody
Dasatinib|BMS-354825|Sprycel	BCR-ABL1_inhibitor,second_generation; KIT_inhibitor; PDGFRA_inhibitor; SRC_inhibitor
Daunorubicin|DAUNOMYCIN|DNR|Daunorrubicina|Leukaemomycin C|RUBOMYCIN C|Rubidomycin|Daunorubicin Hydrochloride	anthracycline
Debio1347|CH5183284|Debiopharm 1347|FF284|debio 1347	FGFR1/2/3_inhibitor
Decitabine|Dacogen|5-Aza-2-deoxycytidine|5-Azadeoxycytidine|Deoxyazacytidine|Dezocitidine	DNA_methyltransferase_inhibitor
Denosumab|AMG 162|AMG-162|Prolia|TK-006|Xgeva	anti-RANK_L_monoclonal_antibody
Depatuxizumab Mafodotin|ABT-414	anti-EGFR/PBD_antibody-drug_conjugate
Depatuxizumab|ABT-806|mAb-806	anti-EGFR_monoclonal_antibody
Derazantinib|ARQ 087|ARQ-087	FGFR1/2/3_inhibitor
Dexamethasone|Cortisumman|Decadron|Dectancyl|Dekacort|Deltafluorene|Deronil|Desamethasone|Desameton|Dexa-Scheroson|Dexameth|Dexone|Dinormon|Fortecortin|Gammacorten|Hexadrol|Millicorten|Visumetazone|1-Dehydro-16alpha-methyl-9alpha-fluorohydrocortisone|16Alpha-methyl-9alpha-fluoro-delta1-hydrocortisone|16Alpha-methyl-9alpha-fluoroprednisolone|9Alpha-fluoro-16alpha-methylprednisolone|9alpha-Fluoro-16alpha- methylprednisolone|Aacidexam|Aknichthol Dexa|Alba-Dex|Alin|Amplidermis|Anemul mono|Auricularum|Auxiloson|Baycadron|Baycuten|Cortidexason|Decacort|Decadrol|Decalix|Decameth|Decasone R.p.|Dexa-Mamallet|Dexa-Rhinosan|Dexa-sine|Dexacortal|Dexacortin|Dexafarma|Dexafluorene|Dexalocal|Dexamecortin|Dexamonozon|Dexapos|Dexinoral|Fluoro-9alpha Methyl-16alpha Prednisolone|Fluorodelta|Lokalison-F|Loverine|Methylfluorprednisolone|Mymethasone|Orgadrone|Spersadex|TaperDex|ZoDex	glucocorticoid
Dexrazoxane|ICRF-187|ADR-529	iron_chelator
Dinaciclib|MK-7965|SCH 727965	CDK1/2/5/9_inhibitor
Dinutuximab|Ch14.18|Ch 14.18UTC|Unituxin	anti-GD2_monoclonal_antibody
Diphencyprone|DPCP|Diphenylcyclopropenone	topical_immune_response_modifier
Docetaxel|Taxotere|Docecad|RP56976	taxane
Dostarlimab|ANB011|TSR 042|TSR-042|TSR042	anti-PD-1_monoclonal_antibody
Dovitinib	PDGFRB_inhibitor; VEGFR_inhibitor; pan-FGFR_inhibitor
Doxorubicin|Adriablastin|Hydroxydaunomycin|Hydroxyl Daunorubicin|Hydroxyldaunorubicin	anthracycline
Durvalumab|Imfinzi|MEDI-4736|MEDI4736	anti-PD-L1_monoclonal_antibody
E7016	PARP_inhibitor
EBC-46	protein_kinase_C_regulator
EMD 1204831	MET_inhibitor
ENMD-2076	AURKA_inhibitor; angiogenesis_inhibitor
ES414	bispecific_PSMA/CD3_antibody
Efizonerimod|MEDI6383	anti-OX40_agnostic_monoclonal_antibody
Eftilagimod Alpha|EFTILAGIMOD ALFA|IMP321|Immufact	T-cell_immunostimulatory_factor
Elacestrant|ER-306323|RAD1901	selective_estrogen_receptor_degrader
Elotuzumab|HuLuc63|BMS-901608|Empliciti|HuLuc-63|PDL-063|PDL063	anti-CS1_monoclonal_antibody
Enasidenib|AG-221|CC-90007 Free Base	IDH2_inhibitor
Encorafenib|Braftovi|LGX 818|LGX-818|LGX818	BRAF_V600_inhibitor
Enfortumab Vedotin|AGS 22ME|ASG-22CE|Padcev	anti-Nectin-4_antibody
Ensartinib|X-396	ALK_inhibitor,third_generation; ROS1_inhibitor
Entrectinib|RXDX 101|RXDX-101|RXDX101|Rozlytrek	ALK_inhibitor,third_generation; TRK_inhibitor,first_generation; ROS1_inhibitor
Envafolimab|KN 035|KN035	anti-PD-L1_monoclonal_antibody
Enzalutamide|ASP9785|MDV3100|Xtandi	antiandrogen,nonsteroidal,second_generation
Epirubicin	anthracycline
Erdafitinib|Balversa|JNJ-42756493	pan-FGFR_inhibitor
Eribulin|ER-086526	macrocyclic_ketone_analogue
Erlotinib	EGFR_inhibitor,first_generation
Etigilimab|OMP 313M32|OMP-313M32|WHO 10742	anti-TIGIT_monoclonal_antibody
Etirinotecan Pegol|NKTR 102|NKTR-102|Onzeald|PEG-Irinotecan	topoisomerase_inhibitor
Etoposide|Vepesid|VP-16|Demethyl Epipodophyllotoxin Ethylidine Glucoside|EPEG|Lastet|Toposar|VP 16|VP16	topoisomerase_inhibitor
Everolimus|Afinitor|RAD001|Certican|RAD 001|Votubia|Zortress	MTORC1_inhibitor
Exatecan	topoisomerase_inhibitor
Exemestane|Aromasin|FCE-24304	aromatase_inhibitor
F520|F 520|HX 008	anti-PD-1_monoclonal_antibody
FAZ-053|FAZ 053|FAZ053	anti-PD-L1_monoclonal_antibody
FF-10850|FF 10850|FF10850	topoisomerase_inhibitor
FLX475|FLX 475|FLX-475	CCR4_inhibitor
FN-1501|FN 1501|FN1501	CDK2/4/6/FLT3_inhibitor
FOLFIRI	fluorouracil + irinotecan
FOLFIRINOX|mFOLFIRINOX	fluorouracil + oxaliplatin + irinotecan
FOLFOXIRI	fluorouracil + oxaliplatin + irinotecan
FLOT	fluorouracil + oxaliplatin + docetaxel
FOLFOX|FOLFOX6|FOLFOX4|mFOLFOX|mFOLFOX6	fluorouracil + oxaliplatin
FPT155|FPT 155|FPT-155	soluble_CD80_fusion_protein
Fianlimab|REGN 3767|REGN3767|WHO 11182	anti-LAG3_monoclonal_antibody
Filgrastim|G-CSF|Neupogen|Recombinant Methionyl Human Granulocyte Colony Stimulating Factor|Tevagrastim	granulocyte_colony_stimulating_factor
Fisogatinib|BLU 554|BLU-554|BLU554|CS 3008|CS-3008|CS3008	FGFR4_inhibitor
Fludarabine|2-Fluoro-9-beta-arabinofuranosyladenine|2-Fluorovidarabine|9-Beta-D-arabinofuranosyl-2-fluoro-9H-purin-6-amine|9-Beta-D-arabinofuranosyl-2-fluoroadenine|Fluradosa	antimetabolite
Fluorouracil|5-FU|Fluracil|Fluril|2,4-Dioxo-5-fluoropyrimidine|5 FU|5FU|AccuSite|Adrucil|Carac|Fluoro Uracil|Fluouracil|Flurablastin|Fluracedyl|Fluroblastin|Ribofluor|Ro 2-9757|Ro-2-9757	antimetabolite
Flutamide|Apimid|Cebatrol|Chimax|Cytomid|Drogenil|Euflex|Eulexin|FLUT|Flucinom|Flugerel|Fluken|Flulem|Fugerel|Grisetin|Niftolide|Oncosal|Profamid|Prostacur|Prostadirex|Prostica|Prostogenat|SCH 13521|Tafenil|Testotard	antiandrogen,nonsteroidal,first_generation
Fluzoparib|SHR-3162|SHR3162	PARP_inhibitor
Foretinib|XL880|GSK1363089	MET_inhibitor,type_2
Fosgemcitabine Palabenamide|Acelarin|Gemictabine ProTide|NUC 1031|NUC-1031	gemcitabine-phosphoramidate
Fulvestrant|Faslodex|ICI 182,780|ICI 182780|ZD9238	selective_estrogen_receptor_degrader
Futibatinib|TAS-120	pan-FGFR_inhibitor,irreversible
GD2-iCAR-PBT	autologous_GD2_CAR_T_cells
GDC-0077|GDC 0077|GDC0077|RG 6114|RG-6114|RG6114|RO 7113755	PI3K_inhibitor
Ravoxertinib|GDC-0994	ERK_inhibitor
GDC-9545	selective_estrogen_receptor_degrader
GNOS-PV02	personalized_neoantigen_vaccine
GR-1405|GR 1405|GR1405	anti-PD-L1_monoclonal_antibody
GS-4224|GS 4224|GS4224	anti-PD-L1_monoclonal_antibody
GSK2636771	PI3K_beta_inhibitor
GSK3174998|GSK-3174998	anti-OX40_agnostic_monoclonal_antibody
GSK3359609|GSK-3359609	anti-ICOS_agonist_antibody
GSK3368715|GSK 3368715|GSK-3368715	PRMT_inhibitor,type_1
GSK343	EZH2_inhibitor
GSK3745417|GSK 3745417|GSK-3745417	STING_agonist
GWN 323|GWN323	anti-GITR_monoclonal_antibody
Gefitinib|Iressa|ZD 1839|ZD1839	EGFR_inhibitor,first_generation
Gemcitabine|Difluorodeoxycytidine|dFdC	antimetabolite
Genolimzumab|CBT 501|CBT-501|CBT501|GB-226	anti-PD-1_monoclonal_antibody
Gevokizumab|XOMA 052	anti-IL-1beta_antibody
Gilteritinib|ASP-2215|ASP2215|Xospata	AXL/FLT3_inhibitor
Glesatinib|MG90265|MGCD265	MET_inhibitor,type_2
Glumetinib|SCC 244|SCC-244|SCC244	MET_inhibitor
Goserelin|ICI-118630	GnRH_agonist; GnRH_analogue
H3B-8800|H3B 8800	SF3B1_inhibitor
HBM4003	anti-CTLA-4_monoclonal_antibody
HKT288|HKT 288|Maytansine-based ADC HKT-288	CDH6-targeting_DM4-based_antibody-drug_conjugate
HLX20|HLX 20|HLX-20	anti-PD-1_monoclonal_antibody
HMPL-453|HMPL 453|HMPL453	FGFR_inhibitor
HMPL-523	Syk_inhibitor
HS-10241	MET_inhibitor
HTI-1090|HTI 1090|SHR9146	IDO/TDO_inhibitor
HX009|HX 009|HX-009	anti-PD-1_monoclonal_antibody
Hydroxychloroquine	anti-malarial_agent
IDE196|IDE 196|IDE-196|LXS196	PKC_inhibitor
IDH305	IDH1_R132_inhibitor
IMCgp100|ImmTAC-gp100	anti-CD3_scFv_fusion_protein
IMM-101	heat-killed_Mycobacterium_preparation
IMP4297|IMP 4297|IMP-4297	PARP_inhibitor
IMX-110|IMX 110|IMX110	doxorubicin; nanoparticle_Stat3/NF-kB/poly-TKI
INB03	TNF_inhibitor
INCAGN01876|INCAGN 01876|INCAGN 1876|INCAGN-1876	anti-TIGIT_monoclonal_antibody
INCSHR01210	anti-PD-1_monoclonal_antibody
INO-9012	DNA_plasmid_encoding_IL-12
IPI-549|IPI 549	PI3K-gamma_inhibitor
Ibrutinib|CRA-032765|Imbruvica|PCI-32765	BTK_inhibitor
Idarubicin	anthracycline
Idasanutlin|RG-7388|RG7388|RO-5503781|RO5503781	MDM2_inhibitor
Idronoxil|NOX66|NV-06|Phenoxodiol	idronoxil_suppository
Ieramilimab|IMP-701|LAG 525|LAG525	anti-LAG3_monoclonal_antibody
Ifabotuzumab|Fibatuzumab|KB 004|KB-004|KB004	anti-EphA3_antibody
Ifosfamide|Cyfos|Ifex|Iphosphamid|Isoendoxan|Isophosphamide|Mitoxana|Naxamide|Holoxan|IFO|IFX|Iso-Endoxan|MJF 9325|MJF-9325|Seromida|Tronoxal|Z 4942|Z-4942	alkylating_agent
Ifosphamide	alkylating_agent
Imatinib|Imatinib Mesylate	BCR-ABL1_inhibitor,first_generation; KIT_inhibitor; PDGFRA_inhibitor
