trial_id	phase	recruitmentstatus	actualstartdate	short_title	drug_list	drug_classes	secondaryid	studytitle	healthcondition	healthconditioncode	ext_weblink
NCT04484363	Phase 4	Available	July 23, 2020	Pevonedistat (in Combination With Azacitidine) for the First-line Treatment of Higher Risk Myelodysplastic Syndromes (HR-MDS)	Azacitidine; Pevonedistat	DNA_methyltransferase_inhibitor; NEDD8_inhibitor; antimetabolite	Pevonedistat-5005	Pevonedistat (in Combination With Azacitidine) for the First-line Treatment of Higher Risk Myelodysplastic Syndromes (HR-MDS)	Myelodysplastic Syndromes	DOID:0050908	https://clinicaltrials.gov/ct2/show/NCT04484363
NCT04473040	Phase 4	Available	July 16, 2020	Managed Access Program (MAP)* to Provide Access to Alpelisib, in Combination With Fulvestrant (ET) in Postmenopausal Women With Advanced Breast Cancer	Alpelisib; Fulvestrant	PI3K_inhibitor; selective_estrogen_receptor_degrader	CBYL719C2001M	Managed Access Program (MAP)* to Provide Access to Alpelisib, in Combination With Fulvestrant (ET) in Postmenopausal Women With Advanced Breast Cancer	Hormone Receptor Positive, HER2-negative, Advanced Breast Cancer With a PIK3CA Mutation	DOID:1612	https://clinicaltrials.gov/ct2/show/NCT04473040
NCT04446793	Phase 4	Available	June 25, 2020	Expanded Access of Onvansertib With FOLFIRI and Bevacizumab for the Second-Line Treatment of Participants With KRAS-Mutated Metastatic Colorectal Cancer	Bevacizumab; FOLFIRI; Onvansertib	PLK1_inhibitor; anti-VEGF_monoclonal_antibody; fluorouracil + irinotecan	CRDF-01E	Expanded Access of Onvansertib With FOLFIRI and Bevacizumab for the Second-Line Treatment of Participants With KRAS-Mutated Metastatic Colorectal Cancer	KRAS Gene Mutation; Metastatic Colorectal Cancer	DOID:0050861	https://clinicaltrials.gov/ct2/show/NCT04446793
NCT04360005	Phase 4	Available	April 24, 2020	Managed Access Program (MAP)* to Provide Access to Asciminibfor Patients With CML in Chronic Phase	Asciminib	BCR-ABL1_inhibitor	CABL001A02401M	Managed Access Program (MAP)* to Provide Access to Asciminibfor Patients With CML in Chronic Phase	Chronic Myeloid Leukemia	DOID:8552	https://clinicaltrials.gov/ct2/show/NCT04360005
NCT04204928	Phase 4	Available	December 19, 2019	Pre-Approval Access Program (PAAP) for Pralsetinib (BLU-667) in Patients With Unresectable or Metastatic NSCLC or MTC	Pralsetinib	RET_inhibitor	BLU-667-PAAP-01	Pre-Approval Access Program (PAAP) for Pralsetinib (BLU-667) in Patients With Unresectable or Metastatic NSCLC or MTC	Medullary Thyroid Cancer; Non-Small Cell Lung Cancer	DOID:3908; DOID:3973	https://clinicaltrials.gov/ct2/show/NCT04204928
NCT04100694	Phase 4	Available	September 24, 2019	Early Access Program Providing HER2/HER3 Bispecific Antibody, MCLA-128, for a Patient With Advanced NRG1-Fusion Positive Solid Tumor	MCLA-128	bispecific_ERBB2/ERBB3_monoclonal_antibody	MCLA-128-CL99; MCLA-128-CL98	Early Access Program Providing HER2/HER3 Bispecific Antibody, MCLA-128, for a Patient With Advanced NRG1-Fusion Positive Solid Tumor	NRG1; NRG1 Fusion; Non Small Cell Lung Cancer; Pancreatic Cancer; Solid Tumor, Unspecified, Adult	DOID:1793; DOID:3908; POTTR:0001	https://clinicaltrials.gov/ct2/show/NCT04100694
NCT03994627	Phase 4	Available	June 21, 2019	Olaratumab (LY3012207) Patient Access for Soft Tissue Sarcoma	Olaratumab	anti-PDGFRA_monoclonal_antibody	17468	Olaratumab (LY3012207) Patient Access for Soft Tissue Sarcoma	Soft Tissue Sarcoma	DOID:1115	https://clinicaltrials.gov/ct2/show/NCT03994627
NCT03874455	Phase 4	Temporarily not available	March 14, 2019	Tazemetostat Expanded Access Program for Adults With Solid Tumors	Tazemetostat	EZH2_inhibitor	EZH-701	Tazemetostat Expanded Access Program for Adults With Solid Tumors	Epithelioid Sarcoma; Poorly Differentiated Chordoma; Sinonasal Carcinoma; Small Cell Carcinoma of the Ovary Hypercalcemic Type; Spindle Cell Sarcoma; Thoracic Sarcoma	DOID:0050685; DOID:1115; DOID:305; DOID:3302; DOID:4235; DOID:6193	https://clinicaltrials.gov/ct2/show/NCT03874455
NCT03763370	Phase 4	Available	December 4, 2018	Expanded Access Request Program for Belantamab Mafodotin (GSK2857916) in Multiple Myeloma	Belantamab Mafodotin	anti-BCMA-immunoconjugate	209233	Expanded Access Request Program for Belantamab Mafodotin (GSK2857916) in Multiple Myeloma	Multiple Myeloma	DOID:9538	https://clinicaltrials.gov/ct2/show/NCT03763370
NCT03763604	Phase 4	Available	December 4, 2018	Named Patient Use Program to Provide Abemaciclib (LY2835219) for the Treatment of Metastatic Breast Cancer	Abemaciclib	CDK4/6_inhibitor	17088	Named Patient Use Program to Provide Abemaciclib (LY2835219) for the Treatment of Metastatic Breast Cancer	Metastatic Breast Cancer	DOID:1612	https://clinicaltrials.gov/ct2/show/NCT03763604
NCT03706573	Phase 4	Available	October 16, 2018	Managed Access Program to Provide Alpelisib for Patients With HR+ Advanced or Metastatic Breast Cancer	Alpelisib	PI3K_inhibitor	CBYL719A0US01CM	Managed Access Program to Provide Alpelisib for Patients With HR+ Advanced or Metastatic Breast Cancer	HR+ Advanced or Metastatic Breast Cancer	DOID:1612	https://clinicaltrials.gov/ct2/show/NCT03706573
NCT03601442	Phase 4	Available	July 26, 2018	CTL019 Out of Specification MAP for ALL or DLBCL Patients	Tisagenlecleucel	CD19-directed_CAR_T_cell	CCTL019B2003I	CTL019 Out of Specification MAP for ALL or DLBCL Patients	Acute Lymphoblastic Leukemia (ALL); Diffuse Large B-cell Lymphoma (DLBCL)	DOID:0050745; POTTR:1004	https://clinicaltrials.gov/ct2/show/NCT03601442
NCT03592576	Phase 4	Available	July 19, 2018	Expanded Access to Navitoclax	Navitoclax	BCL2_inhibitor	C19-199	Expanded Access to Navitoclax	Acute Lymphocytic Leukemia (ALL); Lymphoblastic Lymphoma; Myelofibrosis; Tumor	DOID:0060058; DOID:162; DOID:4971; DOID:9952	https://clinicaltrials.gov/ct2/show/NCT03592576
NCT03414489	Phase 4	Available	January 30, 2018	Expanded Access for the Treatment of Advanced Cholangiocarcinoma With ABC294640 (Yeliva ®)	Opaganib	sphingosine_kinase-2_inhibitor	ABC-108-EA	Expanded Access for the Treatment of Advanced Cholangiocarcinoma With ABC294640 (Yeliva ®)	Cholangiocarcinoma; Cholangiocarcinoma Non-resectable; Cholangiocarcinoma, Extrahepatic; Cholangiocarcinoma, Intrahepatic; Cholangiocarcinoma, Perihilar	DOID:4947	https://clinicaltrials.gov/ct2/show/NCT03414489
NCT03362736	Phase 4	Available	December 5, 2017	An Early Access Program For Ustekinumab In Participants With Moderately To Severely Active Crohn's Disease	Ustekinumab	anti-IL-12_monoclonal_antibody; anti-IL-23_monoclonal_antibody	CR108395	An Early Access Program For Ustekinumab In Participants With Moderately To Severely Active Crohn's Disease	Crohn Disease	DOID:8778	https://clinicaltrials.gov/ct2/show/NCT03362736
NCT03147742	Phase 4	Available	May 10, 2017	An Expanded Access Program of Ruxolitinib for the Treatment of Graft-Versus-Host Disease Following Allogeneic Hematopoietic Stem Cell Transplant	Ruxolitinib	JAK1/JAK2_inhibitor	INCB 18424-MA-GD-301	An Expanded Access Program of Ruxolitinib for the Treatment of Graft-Versus-Host Disease Following Allogeneic Hematopoietic Stem Cell Transplant	Graft-versus-host Disease (GVHD)	DOID:4	https://clinicaltrials.gov/ct2/show/NCT03147742
NCT03138629	Phase 4	Available	May 3, 2017	Expanded Access to VAL-083	VAL-083	alkylating_agent	DLM-17-002	Expanded Access to VAL-083	Cancer	DOID:162	https://clinicaltrials.gov/ct2/show/NCT03138629
NCT03133988	Phase 4	Available	April 28, 2017	Margetuximab Expanded Access Program	Margetuximab	anti-ERBB2_monoclonal_antibody	MGAH22-EA	Margetuximab Expanded Access Program	HER2-positive Breast Cancer; HER2-positive Carcinoma	DOID:1612; DOID:305	https://clinicaltrials.gov/ct2/show/NCT03133988
NCT03123029	Phase 4	Available	April 21, 2017	Expanded Access to Venetoclax	Venetoclax	BCL2_inhibitor	C16-431	Expanded Access to Venetoclax	Acute Lymphoblastic Leukemia (ALL); Acute Myeloid Leukemia (AML); Amyloidosis; Chronic Lymphocytic Leukemia (CLL); Multiple Myeloma; Non-Hodgkin's Lymphoma; Plasma Cell Leukemia	DOID:1040; DOID:1240; DOID:8567; DOID:9119; DOID:9120; DOID:9538; POTTR:1004	https://clinicaltrials.gov/ct2/show/NCT03123029
NCT03123211	Phase 4	Available	April 21, 2017	Expanded Access to Veliparib	Veliparib	PARP_inhibitor	C16-468	Expanded Access to Veliparib	High Grade Serous Ovarian Cancer; Solid Tumors With Documented BRCA, BARD, or PALB or Other Acceptable DNA Mutations or Anomalies That Are Scientifically Sound; Triple Negative Breast Cancer (TNBC)	DOID:1612; DOID:2394; POTTR:0001	https://clinicaltrials.gov/ct2/show/NCT03123211
NCT02856438	Phase 4	Available	August 4, 2016	Early Patient Access Treatment Use Protocol CA204-220	Dexamethasone; Elotuzumab; Lenalidomide	anti-CS1_monoclonal_antibody; glucocorticoid; thalidomide_and_derivative	CA204-220	Early Patient Access Treatment Use Protocol CA204-220	Multiple Myeloma	DOID:9538	https://clinicaltrials.gov/ct2/show/NCT02856438
