trial_id	trialacronym	phase	recruitmentstatus	recruitmentstate	approvaldate	actualstartdate	actualenddate	drug_list	drug_classes	combo_list	combo_classes	secondaryid	studytitle	healthcondition	postcode	ext_weblink
ACTRN12621000802808	LU-TEMP	Phase 2	RECRUITING	NSW	2021-06-25			177Lu-edotreotide; Temozolomide	177Lu-DOTA-radioconjugate; alkylating_agent	Temozolomide; 177Lu-edotreotide	alkylating_agent; 177Lu-DOTA-radioconjugate	Nil	A pilot open label study of [177Lu]Lu-octretotate and temozolomide in the treatment of succinate dehydrogenase-associated locally advanced or metastatic pheochromocytoma and paraganglioma in adults.	Cancer	2065 - St Leonards	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12621000802808
ACTRN12621000848808	EQ143-101	Phase 1	RECRUITING	NZ	2021-07-01	2021-06-21		Almonertinib	EGFR_inhibitor,third_generation	Almonertinib	EGFR_inhibitor,third_generation	EQ143-101	A Single Dose Phase 1 Study in Healthy Participants to Evaluate the Comparative Pharmacokinetics of Orally Administered EQ143 in Caucasian and Ethnic Chinese Populations	Non Small Cell Lung Cancer	Auckland	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12621000848808
ACTRN12621000991819	PDCCiHNC	Not Applicable	STATUS_UNKNOWN	NSW	2021-07-28			Carboplatin; Ceralasertib; Cisplatin; Crizotinib; Dactolisib; Dasatinib; Docetaxel; Doxorubicin; Erlotinib; Etoposide; Fluorouracil; Gemcitabine; Itraconazole; Methotrexate; Paclitaxel; Palbociclib; Pemetrexed; Ruxolitinib; Sorafenib; Vinorelbine; Vistusertib	antimetabolite; PDGFR_inhibitor; EGFR_inhibitor,first_generation; JAK1/JAK2_inhibitor; anthracycline; Fluorouracil; CRAF/FLT3/KIT/PDGFR/VEGFR_inhibitor; vinca_alkaloid; platinum-based_antineoplastic_agent; ALK_inhibitor,first_generation; SMO_inhibitor; YES1_inhibitor; CDK4/6_inhibitor; fluoropyrimidine; gemcitabine; mTORC1/mTORC2_inhibitor; ROS1_inhibitor; ATR_inhibitor; doxorubicin; PDGFRA_inhibitor; KIT_inhibitor; VEGFR_inhibitor; topoisomerase_inhibitor; antifolate; CRAF_inhibitor; taxane; SRC_inhibitor; BCR-ABL1_inhibitor,second_generation; FLT3_inhibitor; PI3K/mTOR_inhibitor; MET_inhibitor,type_1	Carboplatin; Ceralasertib; Cisplatin; Crizotinib; Dactolisib; Dasatinib; Docetaxel; Doxorubicin; Erlotinib; Etoposide; Fluorouracil; Gemcitabine; Itraconazole; Methotrexate; Paclitaxel; Palbociclib; Pemetrexed; Ruxolitinib; Sorafenib; Vinorelbine; Vistusertib	ALK_inhibitor,first_generation; ATR_inhibitor; BCR-ABL1_inhibitor,second_generation; CDK4/6_inhibitor; CRAF/FLT3/KIT/PDGFR/VEGFR_inhibitor; CRAF_inhibitor; EGFR_inhibitor,first_generation; FLT3_inhibitor; JAK1/JAK2_inhibitor; KIT_inhibitor; MET_inhibitor,type_1; PDGFRA_inhibitor; PDGFR_inhibitor; PI3K/mTOR_inhibitor; ROS1_inhibitor; SMO_inhibitor; SRC_inhibitor; VEGFR_inhibitor; YES1_inhibitor; anthracycline; antifolate; antimetabolite; fluoropyrimidine; mTORC1/mTORC2_inhibitor; platinum-based_antineoplastic_agent; taxane; topoisomerase_inhibitor; vinca_alkaloid; Fluorouracil; doxorubicin; gemcitabine	Nil known	A Feasibility Trial of Patient Derived Cell Culture (PDCC) Chemosensitivity in Head and Neck Carcinoma (HNC)	Head and Neck Carcinoma	2050 - Camperdown	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12621000991819
ACTRN12621001444875	The-SOCRATES-HCC-Study	Phase 2	RECRUITING	ACT, NSW, QLD, SA, VIC, WA	2021-10-25	2022-11-29		Radiotherapy	radiotherapy	Radiotherapy	radiotherapy	TROG 21.07	A randomised controlled trial of Standard Of Care versus RadioAblaTion in Early Stage HCC (The SOCRATES HCC Study)	Early Hepatocellular Carcinoma	6009 - Nedlands; 2145 - Westmead; 6150 - Murdoch; 3050 - Parkville; 4102 - Woolloongabba; 5000 - Adelaide; 2747 - Kingswood; 4029 - Herston; 2050 - Camperdown; 2305 - New Lambton; 3128 - Box Hill; 4215 - Southport; 5042 - Bedford Park	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12621001444875
ACTRN12621001458820	CHARMM	Phase 1	NOT_YET_RECRUITING	NSW	2021-10-26			Carfilzomib; Carfilzomib + Dexamethasone; Carfilzomib + Dexamethasone + Hydroxychloroquine; Dexamethasone; Hydroxychloroquine	proteasome_inhibitor; glucocorticoid; anti-malarial_agent; anti-malarial_agent + glucocorticoid + proteasome_inhibitor; glucocorticoid + proteasome_inhibitor	Carfilzomib; Carfilzomib + Dexamethasone; Carfilzomib + Dexamethasone + Hydroxychloroquine; Hydroxychloroquine	anti-malarial_agent; anti-malarial_agent + glucocorticoid + proteasome_inhibitor; glucocorticoid + proteasome_inhibitor; proteasome_inhibitor	none	Phase I Clinical Trial to Determine Dosing Schedule of Hydroxychloroquine in Participants with Multiple Myeloma and Partial Response or Less to Carfilzomib	Myeloma; Cancer	2170 - Liverpool	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12621001458820
ACTRN12621001537842	NOX66-IS-002--CA209-66P,	Phase 1 / Phase 2	RECRUITING	NSW	2021-11-10	2021-10-25		Idronoxil; Idronoxil + Nivolumab; Nivolumab	anti-PD-1_monoclonal_antibody + idronoxil_suppository; anti-PD-1_monoclonal_antibody; idronoxil_suppository	Idronoxil; Idronoxil + Nivolumab; Nivolumab	anti-PD-1_monoclonal_antibody; anti-PD-1_monoclonal_antibody + idronoxil_suppository; idronoxil_suppository	NOX66-IS-002  CA209-66P,	Safety and Efficacy of NOX66 in combination with Nivolumab for patients with solid tumours – a pilot study (IONIC-1).	Patients with solid tumours	2228 - Miranda; 2148 - Blacktown; 2217 - Kogarah; 2076 - Wahroonga	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12621001537842
ACTRN12622000016730	HER2Pro-1B	Phase 1	RECRUITING	NSW, QLD	2022-01-11	2023-06-20		Dexamethasone; Dexamethasone + Paclitaxel + Pertuzumab + Prochlorperazine + Trastuzumab; Paclitaxel; Paclitaxel + Pertuzumab + Prochlorperazine + Trastuzumab; Paclitaxel + Pertuzumab + Trastuzumab; Pertuzumab; Prochlorperazine; Trastuzumab	antihistamine; anti-ERBB2_monoclonal_antibody; taxane; anti-ERBB2_monoclonal_antibody,dimerization_inhibitor; glucocorticoid; anti-ERBB2_monoclonal_antibody + anti-ERBB2_monoclonal_antibody,dimerization_inhibitor + antihistamine + taxane; anti-ERBB2_monoclonal_antibody + anti-ERBB2_monoclonal_antibody,dimerization_inhibitor + antihistamine + glucocorticoid + taxane; anti-ERBB2_monoclonal_antibody + anti-ERBB2_monoclonal_antibody,dimerization_inhibitor + taxane	Dexamethasone + Paclitaxel + Pertuzumab + Prochlorperazine + Trastuzumab; Paclitaxel + Pertuzumab + Prochlorperazine + Trastuzumab; Paclitaxel + Pertuzumab + Trastuzumab; Prochlorperazine	anti-ERBB2_monoclonal_antibody + anti-ERBB2_monoclonal_antibody,dimerization_inhibitor + antihistamine + glucocorticoid + taxane; anti-ERBB2_monoclonal_antibody + anti-ERBB2_monoclonal_antibody,dimerization_inhibitor + antihistamine + taxane; anti-ERBB2_monoclonal_antibody + anti-ERBB2_monoclonal_antibody,dimerization_inhibitor + taxane; antihistamine	None	Addition of prochlorperazine to paclitaxel, trastuzumab, and pertuzumab for previously untreated HER2-positive metastatic breast cancer: a phase 1 dose de-escalation study	Metastatic HER2-positive breast cancer	4102 - Woolloongabba; 2010 - Darlinghurst	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12622000016730
ACTRN12622000083796	20)	Phase 3	RECRUITING	QLD	2022-01-21	2022-12-14		Placebo; delta-9-tetrahydrocannabinol	placebo; tetrahydrocannabinol	delta-9-tetrahydrocannabinol; Placebo	tetrahydrocannabinol; placebo	Nil Known	Medicinal Cannabis (MedCan 3) – a randomised, multicentre, double blind, placebo-controlled trial to assess THC/CBD (1:20) to relieve symptom burden in patients with cancer	Cancer	4101 - South Brisbane; 4300 - Springfield Central; 4163 - Cleveland; 4169 - Kangaroo Point	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12622000083796
ACTRN12622000993796	ACTRN12622000993796	Phase 1	RECRUITING	NSW, VIC, WA	2022-07-14	2022-11-15		AXA-042; Cemiplimab	anti-PD-1_monoclonal_antibody; TLR2/TLR6_agonist	AXA-042; Cemiplimab	TLR2/TLR6_agonist; anti-PD-1_monoclonal_antibody	None	A Phase 1a/1b, first-in-human, open-label, non-randomised, multicenter, dose-escalation and dose -expansion study to evaluate the safety, tolerability, pharmacokinetics, and pharmacodynamics of AXA-042 as monotherapy and in combination with an anti-PD-1 monoclonal antibody (cemiplimab) in subjects with advanced solid tumours: phase 1a	Advanced solid tumors	6009 - Nedlands; 3175 - Dandenong; 3000 - Melbourne; 2031 - Randwick	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12622000993796
ACTRN12622001003763	X22-0072	Phase 2	RECRUITING	NSW	2022-07-18	2023-03-08		Evolocumab	anti-PCSK9_monoclonal_antibody	Evolocumab	anti-PCSK9_monoclonal_antibody	Protocol Number: X22-0072	A multi-centre, open label phase 2 trial investigating the effect of evolocumab in addition to chemotherapy or androgen receptor signalling inhibitor therapy on the circulating lipid profile of men with metastatic castration-resistant prostate cancer	Metastatic Castrate Resistant Prostate Cancer	2145 - Westmead; 2010 - Darlinghurst; 2050 - Camperdown	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12622001003763
ACTRN12622001201763	TRAS-GB	Phase 2	RECRUITING	NZ	2022-09-07			Celecoxib; Metformin; Propranolol; Radiotherapy; Radiotherapy + Temozolomide; Temozolomide	biguanide_antihyperglycaemic_agent; COX2_inhibitor; radiotherapy; alkylating_agent; beta-adrenergic_blocker; alkylating_agent + radiotherapy	Celecoxib; Metformin; Propranolol; Radiotherapy + Temozolomide	COX2_inhibitor; alkylating_agent + radiotherapy; beta-adrenergic_blocker; biguanide_antihyperglycaemic_agent	none	Efficacy of Treatment Targeting the Renin-Angiotensin System in Glioblastoma (TRAS-GB) Trial	Glioblastoma		https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12622001201763
ACTRN12622001378718	TheraPb-phase-I-II	Phase 1 / Phase 2	RECRUITING	QLD	2022-10-26	2023-11-01		212Pb-ADVC001	radioligand,PSMA-targeting	212Pb-ADVC001	radioligand,PSMA-targeting	none	Phase I/IIa Dose Escalation and Toxicity Study of [212Pb]Pb-ADVC001 in Metastatic Prostate Adenocarcinoma (TheraPb – Phase I/II)	Metastatic Prostate Cancer	4029 - Royal Brisbane Hospital; 4029 - Herston; 4102 - Woolloongabba	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12622001378718
ACTRN12622001514796	KARPOS	Not Applicable	RECRUITING	SA	2022-12-06	2023-05-17		Bevacizumab; Bevacizumab + GD2-iCAR-PBT; Cyclophosphamide; Cyclophosphamide + Fludarabine; Fludarabine; GD2-iCAR-PBT; Ifosfamide	antimetabolite; anti-VEGF_monoclonal_antibody + autologous_CAR-T-cell_therapy,GD2-targeting; alkylating_agent; autologous_CAR-T-cell_therapy,GD2-targeting; anti-VEGF_monoclonal_antibody; alkylating_agent + antimetabolite	Bevacizumab + GD2-iCAR-PBT; Cyclophosphamide + Fludarabine; GD2-iCAR-PBT; Ifosfamide	alkylating_agent + antimetabolite; anti-VEGF_monoclonal_antibody + autologous_CAR-T-cell_therapy,GD2-targeting; autologous_CAR-T-cell_therapy,GD2-targeting	Nil Known	KARPOS - A Phase 1, Single-Centre, Non-randomised, Open-labelled, Escalating Dose Study of Autologous GD2-Specific Chimeric Antigen Receptor-expressing Peripheral Blood T cells in Patients with Recurrent GD2-positive Glioblastoma Multiforme	Glioblastoma Multiforme	5000 - Adelaide	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12622001514796
ACTRN12623000073606	SLAP-trial	Phase 0	NOT_YET_RECRUITING	NSW	2023-01-23			Lu-177 vipivotide tetraxetan	radioconjugate,PSMA-targeting	Lu-177 vipivotide tetraxetan	radioconjugate,PSMA-targeting	None	A Single-Arm, Open-Label, Prospective, Phase 0 Trial Evaluating the Safety and Efficacy of Salvage 177Lu-PSMA-I&T in Prostate Specific Antigen (PSA) Biochemical Failure After Radical Prostatectomy for High-Risk Prostate Cancer	Prostate cancer	2076 - Wahroonga	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12623000073606
ACTRN12623000096651	LUMOS2	Phase 2	RECRUITING	NSW, QLD, SA, TAS, VIC, WA	2023-01-27	2023-09-11		Cadonilimab; Cadonilimab + Niraparib; Niraparib; Paxalisib; Selinexor	dual_PI3K/mTOR_inhibitor; XPO1_inhibitor; PARP_inhibitor + bispecific_PD-1/CTLA4_antibody; bispecific_PD-1/CTLA4_antibody; PARP_inhibitor	Cadonilimab; Cadonilimab + Niraparib; Paxalisib; Selinexor	PARP_inhibitor + bispecific_PD-1/CTLA4_antibody; XPO1_inhibitor; bispecific_PD-1/CTLA4_antibody; dual_PI3K/mTOR_inhibitor	CTC0378  COGNO2201	LUMOS2: Low & Anaplastic Grade Glioma Umbrella Study of Molecular Guided TherapieS	Grade 2 Glioma; Grade 3 Glioma	4029 - Herston; 3000 - Melbourne; 2010 - Darlinghurst; 3084 - Heidelberg; 2170 - Liverpool; 5042 - Bedford Park; 6009 - Nedlands; 4102 - Woolloongabba; 2298 - Waratah; 3168 - Clayton; 7000 - Hobart; 3065 - Fitzroy; 2065 - St Leonards	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12623000096651
ACTRN12623000174684	APG2449OG101	Phase 1	RECRUITING	NSW, QLD	2023-02-21	2023-08-08		APG-2449; APG-2449 + Doxorubicin; Doxorubicin	anthracycline; FAK_inhibitor + anthracycline; FAK/ALK/ROS1_inhibitor + anthracycline; ALK_inhibitor,third_generation + anthracycline; ALK_inhibitor,third_generation; FAK_inhibitor; doxorubicin; FAK/ALK/ROS1_inhibitor	APG-2449; APG-2449 + Doxorubicin	ALK_inhibitor,third_generation; ALK_inhibitor,third_generation + anthracycline; FAK/ALK/ROS1_inhibitor; FAK/ALK/ROS1_inhibitor + anthracycline; FAK_inhibitor; FAK_inhibitor + anthracycline; doxorubicin	APG2449OG101	A Phase Ib/II Study of APG-2449 in Combination with Doxorubicin Hydrochloride Liposome in Patients with Ovarian Cancer	Ovarian Cancer	2050 - Camperdown; 2148 - Blacktown; 4101 - South Brisbane	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12623000174684
ACTRN12623000216617	RESCUE	Phase 1	NOT_YET_RECRUITING	NZ	2023-02-28			177Lu-DOTA-rosopatamab; Lu-177 vipivotide tetraxetan; Radiotherapy	radiotherapy; radioconjugate,PSMA-targeting; radioligand,PSMA-targeting	177Lu-DOTA-rosopatamab; Lu-177 vipivotide tetraxetan; Radiotherapy	radioconjugate,PSMA-targeting; radioligand,PSMA-targeting; radiotherapy	Nil Known	A pilot, feasibility study of 177Lu-DOTA-Rosopatamab (TLX591) therapy in castrate resistant prostate adenocarcinoma patients showing progression on radioligand therapy using PSMA small molecule ligands	Metastatic Prostate Cancer	Auckland	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12623000216617
ACTRN12623000223639	iLSTA	Phase 1	RECRUITING	WA	2023-03-02	2023-04-03		Certepetide; Certepetide + Durvalumab + Gemcitabine + Nab-paclitaxel; Durvalumab; Gemcitabine; Nab-paclitaxel	antimetabolite; anti-PD-L1_monoclonal_antibody; taxane; gemcitabine; tumor-homing_peptide_iRGD; anti-PD-L1_monoclonal_antibody + antimetabolite + taxane + tumor-homing_peptide_iRGD	Certepetide + Durvalumab + Gemcitabine + Nab-paclitaxel; Durvalumab	anti-PD-L1_monoclonal_antibody; anti-PD-L1_monoclonal_antibody + antimetabolite + taxane + tumor-homing_peptide_iRGD; gemcitabine	Nil known	A Phase 1 single-blind study evaluating LSTA1 in combination with durvalumab, gemcitabine and nab-paclitaxel as a first-line treatment in locally advanced pancreatic ductal adenocarcinoma (PDAC)	Cancer	6008 - Subiaco	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12623000223639
ACTRN12623000307606	NP-105	Phase 1	RECRUITING	NSW, VIC	2023-03-21	2023-06-15		RX108	sodium-potassium_ATPase_inhibitor	RX108	sodium-potassium_ATPase_inhibitor	NP-105	A Phase I, Open-Label Study of the Safety, Tolerability and Pharmacokinetics of RX108-A Tablet in Patients with Locally Advanced or Metastatic Solid Tumors	Locally Advanced or Metastatic Solid Tumors	3144 - Malvern; 2747 - Kingswood	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12623000307606
ACTRN12623000652673	ELVN-002-002	Phase 1	RECRUITING	WA	2023-06-16	2023-05-02		ELVN-002; ELVN-002 + Itraconazole; Itraconazole	ERBB2_inhibitor,exon_20_selective + SMO_inhibitor; SMO_inhibitor; ERBB2_inhibitor,exon_20_selective	ELVN-002; ELVN-002 + Itraconazole; Itraconazole	ERBB2_inhibitor,exon_20_selective; ERBB2_inhibitor,exon_20_selective + SMO_inhibitor; SMO_inhibitor	ELVN-002-002	A Phase 1 Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of ELVN-002 in Healthy Adult Volunteers: Part C Open-label Drug-Drug Interaction	Non-small Cell lung cancer	6009 - Nedlands; 6027 - Joondalup	https://www.anzctr.org.au/TrialSearch.aspx?searchTxt=ACTRN12623000652673
